2025-08-24 14:52:56 | INFO     | interview-agent | demo_agent.py:84 | Usage summary: UsageSummary(llm_prompt_tokens=1923, llm_prompt_cached_tokens=0, llm_completion_tokens=140, tts_characters_count=507, tts_audio_duration=33.912, stt_audio_duration=234.9999999999996)
2025-08-24 15:01:25 | INFO     | interview-agent | demo_agent.py:108 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:01:26 | INFO     | interview-agent | demo_agent.py:59 | Silero VAD prewarmed
2025-08-24 15:01:26 | DEBUG    | LLM-FACTORY | llm_strategy.py:97 | Selected LLM from env: azure-openai
2025-08-24 15:01:26 | INFO     | LLM-FACTORY | llm_strategy.py:112 | Attempting to instantiate LLM with strategy: azure-openai
2025-08-24 15:01:26 | DEBUG    | LLM-FACTORY | llm_strategy.py:90 | Instantiating azure-openai LLM
2025-08-24 15:01:26 | INFO     | LLM-FACTORY | llm_strategy.py:115 | Successfully instantiated LLM: azure-openai
2025-08-24 15:01:26 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:01:26 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:01:26 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:01:26 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:01:26 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:01:26 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:01:26 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:01:26 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 15:07:24 | INFO     | interview-agent | demo_agent.py:84 | Usage summary: UsageSummary(llm_prompt_tokens=0, llm_prompt_cached_tokens=0, llm_completion_tokens=0, tts_characters_count=0, tts_audio_duration=0.0, stt_audio_duration=355.0999999999997)
2025-08-24 15:07:36 | INFO     | interview-agent | demo_agent.py:108 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:07:37 | INFO     | interview-agent | demo_agent.py:59 | Silero VAD prewarmed
2025-08-24 15:07:37 | DEBUG    | LLM-FACTORY | llm_strategy.py:96 | Selected LLM from env: azure-openai
2025-08-24 15:07:37 | INFO     | LLM-FACTORY | llm_strategy.py:111 | Attempting to instantiate LLM with strategy: azure-openai
2025-08-24 15:07:37 | DEBUG    | LLM-FACTORY | llm_strategy.py:89 | Instantiating azure-openai LLM
2025-08-24 15:07:37 | INFO     | LLM-FACTORY | llm_strategy.py:114 | Successfully instantiated LLM: azure-openai
2025-08-24 15:07:37 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:07:37 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:07:37 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:07:37 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:07:37 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:07:37 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:07:37 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:07:37 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 15:09:39 | INFO     | interview-agent | demo_agent.py:84 | Usage summary: UsageSummary(llm_prompt_tokens=0, llm_prompt_cached_tokens=0, llm_completion_tokens=0, tts_characters_count=0, tts_audio_duration=0.0, stt_audio_duration=120.49999999999973)
2025-08-24 15:09:50 | INFO     | interview-agent | demo_agent.py:108 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:09:51 | INFO     | interview-agent | demo_agent.py:59 | Silero VAD prewarmed
2025-08-24 15:10:51 | INFO     | interview-agent | demo_agent.py:108 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:10:51 | INFO     | interview-agent | demo_agent.py:59 | Silero VAD prewarmed
2025-08-24 15:10:51 | DEBUG    | LLM-FACTORY | llm_strategy.py:92 | Selected LLM: azure-openai
2025-08-24 15:10:51 | INFO     | LLM-FACTORY | llm_strategy.py:107 | Attempting to instantiate LLM with strategy: azure-openai
2025-08-24 15:10:51 | DEBUG    | LLM-FACTORY | llm_strategy.py:86 | Instantiating azure-openai LLM
2025-08-24 15:10:51 | INFO     | LLM-FACTORY | llm_strategy.py:110 | Successfully instantiated LLM: azure-openai
2025-08-24 15:10:51 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:10:51 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:10:52 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:10:52 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:10:52 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:10:52 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:10:52 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:10:52 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 15:11:54 | INFO     | interview-agent | demo_agent.py:84 | Usage summary: UsageSummary(llm_prompt_tokens=0, llm_prompt_cached_tokens=0, llm_completion_tokens=0, tts_characters_count=0, tts_audio_duration=0.0, stt_audio_duration=59.99999999999989)
2025-08-24 15:12:14 | INFO     | interview-agent | demo_agent.py:108 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:12:14 | INFO     | interview-agent | demo_agent.py:59 | Silero VAD prewarmed
2025-08-24 15:12:14 | DEBUG    | LLM-FACTORY | llm_strategy.py:100 | Environment: local, Selected LLM: openai
2025-08-24 15:12:14 | INFO     | LLM-FACTORY | llm_strategy.py:115 | Attempting to instantiate LLM with strategy: openai
2025-08-24 15:12:14 | DEBUG    | LLM-FACTORY | llm_strategy.py:47 | Instantiating openai LLM
2025-08-24 15:12:14 | INFO     | LLM-FACTORY | llm_strategy.py:118 | Successfully instantiated LLM: openai
2025-08-24 15:12:14 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:12:14 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:12:14 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:12:14 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:12:14 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:12:14 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:12:14 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:12:14 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 15:14:50 | INFO     | interview-agent | demo_agent.py:84 | Usage summary: UsageSummary(llm_prompt_tokens=496, llm_prompt_cached_tokens=0, llm_completion_tokens=76, tts_characters_count=310, tts_audio_duration=16.680208333333336, stt_audio_duration=149.99999999999972)
2025-08-24 15:21:34 | INFO     | interview-agent | demo_agent.py:164 | Starting LiveKit Interview Agent Worker...
2025-08-24 15:21:34 | INFO     | interview-agent | demo_agent.py:115 | Silero VAD prewarmed
2025-08-24 15:21:34 | DEBUG    | LLM-FACTORY | llm_strategy.py:100 | Environment: local, Selected LLM: openai
2025-08-24 15:21:34 | INFO     | LLM-FACTORY | llm_strategy.py:115 | Attempting to instantiate LLM with strategy: openai
2025-08-24 15:21:34 | DEBUG    | LLM-FACTORY | llm_strategy.py:47 | Instantiating openai LLM
2025-08-24 15:21:34 | INFO     | LLM-FACTORY | llm_strategy.py:118 | Successfully instantiated LLM: openai
2025-08-24 15:21:34 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 15:21:34 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 15:21:34 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 15:21:34 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 15:21:34 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 15:21:34 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 15:21:34 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 15:21:34 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 15:27:07 | INFO     | interview-agent | demo_agent.py:140 | Usage summary: UsageSummary(llm_prompt_tokens=19875, llm_prompt_cached_tokens=10880, llm_completion_tokens=895, tts_characters_count=2610, tts_audio_duration=145.8805833333332, stt_audio_duration=330.1499999999996)
2025-08-24 15:32:28 | INFO     | interview-agent | demo_agent.py:174 | Starting LiveKit Interview Agent Worker...
